network,autonomous_system_number,autonomous_system_organization
2001:2b8:95::/48,17832,"Korea Internet Security Agency"
2001:2b8:96::/47,17832,"Korea Internet Security Agency"
2001:2b8:98::/45,17832,"Korea Internet Security Agency"
2001:2b8:a0::/48,17832,"Korea Internet Security Agency"
2001:2b8:a1::/48,9700,"Korea Internet Security Agency"
2001:2b8:a2::/47,17832,"Korea Internet Security Agency"
2001:2b8:a4::/48,1237,KISTI
2001:2b8:a5::/48,17832,"Korea Internet Security Agency"
2001:2b8:a6::/47,17832,"Korea Internet Security Agency"
2001:2b8:a8::/45,17832,"Korea Internet Security Agency"
2001:2b8:b0::/45,17832,"Korea Internet Security Agency"
2001:2b8:b8::/46,17832,"Korea Internet Security Agency"
2001:2b8:bc::/48,1237,KISTI
2001:2b8:bd::/48,17832,"Korea Internet Security Agency"
2001:2b8:be::/47,17832,"Korea Internet Security Agency"
2001:2b8:c0::/43,17832,"Korea Internet Security Agency"
2001:2b8:e0::/46,17832,"Korea Internet Security Agency"
2001:2b8:e4::/47,17832,"Korea Internet Security Agency"
2001:2b8:e6::/48,1237,KISTI
2001:2b8:e7::/48,17832,"Korea Internet Security Agency"
2001:2b8:e8::/45,17832,"Korea Internet Security Agency"
2001:2b8:f0::/44,17832,"Korea Internet Security Agency"
2001:2b8:100::/40,17832,"Korea Internet Security Agency"
2001:2b8:200::/39,17832,"Korea Internet Security Agency"
2001:2b8:400::/38,17832,"Korea Internet Security Agency"
2001:2b8:800::/37,17832,"Korea Internet Security Agency"
2001:2b8:1000::/36,17832,"Korea Internet Security Agency"
2001:2b8:2000::/35,17832,"Korea Internet Security Agency"
2001:2b8:4000::/34,17832,"Korea Internet Security Agency"
2001:2b8:8000::/33,17832,"Korea Internet Security Agency"
2001:2c0::/32,2514,"NTT PC Communications, Inc."
2001:2d8::/32,9644,"SK Telecom"
2001:2e0::/32,9293,"NTT Com Asia Limited"
2001:2e8::/32,10013,"FreeBit Co.,Ltd."
2001:2f0::/32,7514,"Computer Engineering & Consulting, Ltd."
2001:2f8::/32,2907,"Research Organization of Information and Systems, National Institute of Informatics"
2001:308::/32,7668,"Hokuriku Telecommunication Network Co."
2001:310::/32,4694,"Yahoo Japan Corporation"
